[Wed Apr 28 16:07:13 2021] 230 SIGUSR1 sent, 180 SIRUSR2 sent, 460 SIGUSR1 received, 180 SIGUSR2 received, avg 0.036 sec between SIGUSR1, avg 0.091 sec between SIGUSR2
[Wed Apr 28 16:07:13 2021] 239 SIGUSR1 sent, 181 SIRUSR2 sent, 478 SIGUSR1 received, 181 SIGUSR2 received, avg 0.035 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:13 2021] 249 SIGUSR1 sent, 181 SIRUSR2 sent, 498 SIGUSR1 received, 181 SIGUSR2 received, avg 0.034 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
[Wed Apr 28 16:07:14 2021] 254 SIGUSR1 sent, 186 SIRUSR2 sent, 508 SIGUSR1 received, 186 SIGUSR2 received, avg 0.035 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
[Wed Apr 28 16:07:14 2021] 254 SIGUSR1 sent, 196 SIRUSR2 sent, 508 SIGUSR1 received, 196 SIGUSR2 received, avg 0.036 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:15 2021] 261 SIGUSR1 sent, 199 SIRUSR2 sent, 522 SIGUSR1 received, 199 SIGUSR2 received, avg 0.036 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
[Wed Apr 28 16:07:16 2021] 267 SIGUSR1 sent, 203 SIRUSR2 sent, 534 SIGUSR1 received, 203 SIGUSR2 received, avg 0.037 sec between SIGUSR1, avg 0.097 sec between SIGUSR2
[Wed Apr 28 16:07:17 2021] 270 SIGUSR1 sent, 210 SIRUSR2 sent, 539 SIGUSR1 received, 210 SIGUSR2 received, avg 0.038 sec between SIGUSR1, avg 0.097 sec between SIGUSR2
[Wed Apr 28 16:07:17 2021] 280 SIGUSR1 sent, 210 SIRUSR2 sent, 549 SIGUSR1 received, 210 SIGUSR2 received, avg 0.038 sec between SIGUSR1, avg 0.098 sec between SIGUSR2
[Wed Apr 28 16:07:17 2021] 290 SIGUSR1 sent, 210 SIRUSR2 sent, 559 SIGUSR1 received, 210 SIGUSR2 received, avg 0.037 sec between SIGUSR1, avg 0.099 sec between SIGUSR2
[Wed Apr 28 16:07:17 2021] 300 SIGUSR1 sent, 210 SIRUSR2 sent, 569 SIGUSR1 received, 210 SIGUSR2 received, avg 0.037 sec between SIGUSR1, avg 0.100 sec between SIGUSR2
[Wed Apr 28 16:07:17 2021] 310 SIGUSR1 sent, 210 SIRUSR2 sent, 579 SIGUSR1 received, 210 SIGUSR2 received, avg 0.037 sec between SIGUSR1, avg 0.101 sec between SIGUSR2
[Wed Apr 28 16:07:17 2021] 320 SIGUSR1 sent, 210 SIRUSR2 sent, 589 SIGUSR1 received, 210 SIGUSR2 received, avg 0.036 sec between SIGUSR1, avg 0.102 sec between SIGUSR2
[Wed Apr 28 16:07:18 2021] 321 SIGUSR1 sent, 219 SIRUSR2 sent, 590 SIGUSR1 received, 219 SIGUSR2 received, avg 0.037 sec between SIGUSR1, avg 0.099 sec between SIGUSR2
[Wed Apr 28 16:07:18 2021] 321 SIGUSR1 sent, 229 SIRUSR2 sent, 590 SIGUSR1 received, 229 SIGUSR2 received, avg 0.037 sec between SIGUSR1, avg 0.096 sec between SIGUSR2
[Wed Apr 28 16:07:19 2021] 321 SIGUSR1 sent, 239 SIRUSR2 sent, 590 SIGUSR1 received, 239 SIGUSR2 received, avg 0.038 sec between SIGUSR1, avg 0.094 sec between SIGUSR2
[Wed Apr 28 16:07:19 2021] 331 SIGUSR1 sent, 239 SIRUSR2 sent, 600 SIGUSR1 received, 239 SIGUSR2 received, avg 0.038 sec between SIGUSR1, avg 0.096 sec between SIGUSR2
[Wed Apr 28 16:07:20 2021] 341 SIGUSR1 sent, 239 SIRUSR2 sent, 610 SIGUSR1 received, 239 SIGUSR2 received, avg 0.038 sec between SIGUSR1, avg 0.098 sec between SIGUSR2
[Wed Apr 28 16:07:20 2021] 351 SIGUSR1 sent, 239 SIRUSR2 sent, 620 SIGUSR1 received, 239 SIGUSR2 received, avg 0.039 sec between SIGUSR1, avg 0.101 sec between SIGUSR2
[Wed Apr 28 16:07:21 2021] 355 SIGUSR1 sent, 245 SIRUSR2 sent, 624 SIGUSR1 received, 245 SIGUSR2 received, avg 0.040 sec between SIGUSR1, avg 0.102 sec between SIGUSR2
[Wed Apr 28 16:07:22 2021] 359 SIGUSR1 sent, 251 SIRUSR2 sent, 628 SIGUSR1 received, 251 SIGUSR2 received, avg 0.041 sec between SIGUSR1, avg 0.102 sec between SIGUSR2
[Wed Apr 28 16:07:22 2021] 369 SIGUSR1 sent, 251 SIRUSR2 sent, 638 SIGUSR1 received, 251 SIGUSR2 received, avg 0.040 sec between SIGUSR1, avg 0.102 sec between SIGUSR2
